year,time,zone,BA,Unit Name,Unit Type,Description,nameplate_MW,Primary Fuel,State,County
2020,1,WACO,WACM,Carousel,WT,Wind turbine,150,WND,CO,Kit Carson
2020,2,WACO,WACM,Carousel,WT,Wind turbine,150,WND,CO,Kit Carson
2020,3,WACO,WACM,Carousel,WT,Wind turbine,150,WND,CO,Kit Carson
2020,4,WACO,WACM,Carousel,WT,Wind turbine,150,WND,CO,Kit Carson
2020,5,WACO,WACM,Carousel,WT,Wind turbine,150,WND,CO,Kit Carson
2020,6,WACO,WACM,Carousel,WT,Wind turbine,150,WND,CO,Kit Carson
2020,7,WACO,WACM,Carousel,WT,Wind turbine,150,WND,CO,Kit Carson
2020,8,WACO,WACM,Carousel,WT,Wind turbine,150,WND,CO,Kit Carson
2020,9,WACO,WACM,Carousel,WT,Wind turbine,150,WND,CO,Kit Carson
2020,10,WACO,WACM,Carousel,WT,Wind turbine,150,WND,CO,Kit Carson
2020,11,WACO,WACM,Carousel,WT,Wind turbine,150,WND,CO,Kit Carson
2020,12,WACO,WACM,Carousel,WT,Wind turbine,150,WND,CO,Kit Carson
2020,13,WACO,WACM,Carousel,WT,Wind turbine,150,WND,CO,Kit Carson
2020,14,WACO,WACM,Carousel,WT,Wind turbine,150,WND,CO,Kit Carson
2020,15,WACO,WACM,Carousel,WT,Wind turbine,150,WND,CO,Kit Carson
2020,16,WACO,WACM,Carousel,WT,Wind turbine,150,WND,CO,Kit Carson
2020,17,WACO,WACM,Carousel,WT,Wind turbine,150,WND,CO,Kit Carson
2020,18,WACO,WACM,Carousel,WT,Wind turbine,150,WND,CO,Kit Carson
2020,19,WACO,WACM,Carousel,WT,Wind turbine,150,WND,CO,Kit Carson
2020,20,WACO,WACM,Carousel,WT,Wind turbine,150,WND,CO,Kit Carson
2020,21,WACO,WACM,Carousel,WT,Wind turbine,150,WND,CO,Kit Carson
2020,22,WACO,WACM,Carousel,WT,Wind turbine,150,WND,CO,Kit Carson
2020,23,WACO,WACM,Carousel,WT,Wind turbine,150,WND,CO,Kit Carson
2020,24,WACO,WACM,Carousel,WT,Wind turbine,150,WND,CO,Kit Carson
2020,25,WACO,WACM,Carousel,WT,Wind turbine,150,WND,CO,Kit Carson
2020,26,WACO,WACM,Carousel,WT,Wind turbine,150,WND,CO,Kit Carson
2020,27,WACO,WACM,Carousel,WT,Wind turbine,150,WND,CO,Kit Carson
