year,time,Location,coal_CF,solar_CF,wind_CF,batteries_CF,natgas_CF,,,,Resource,CF,Adjusted factor,Adjusted CF,,Arizona,WACO
2020,1,WCO,0.33,0.37,0.31,0.62,0.86,,,,Solar,35%,1.05,37%,,Colorado,PSCO
2020,2,WCO,0.33,0.37,0.31,0.62,0.86,,,,Wind,30%,1.02,31%,,Colorado,WACO
2020,3,WCO,0.33,0.37,0.31,0.62,0.86,,,,Batteries,60%,1.03,62%,,New Mexico,PNM
2020,4,WCO,0.33,0.37,0.31,0.62,0.86,,,,Gas,90%,0.95,86%,,,
2020,5,WCO,0.33,0.37,0.31,0.62,0.86,,,,Coal,33%,1,33%,,Wyoming,PAWY
2020,6,WCO,0.33,0.37,0.31,0.62,0.86,,,,,,,,,,
2020,7,WCO,0.33,0.37,0.31,0.62,0.86,,,,,,,,,,
2020,8,WCO,0.33,0.37,0.31,0.62,0.86,,,,,,,,,,
2020,9,WCO,0.33,0.37,0.31,0.62,0.86,,,,,,,,,,
2020,10,WCO,0.33,0.37,0.31,0.62,0.86,,,,,,,,,,
2020,11,WCO,0.33,0.37,0.31,0.62,0.86,,,,,,,,,,
2020,12,WCO,0.33,0.37,0.31,0.62,0.86,,,,,,,,,,
2020,13,WCO,0.33,0.37,0.31,0.62,0.86,,,,,,,,,,
2020,14,WCO,0.33,0.37,0.31,0.62,0.86,,,,,,,,,,
2020,15,WCO,0.33,0.37,0.31,0.62,0.86,,,,,,,,,,
2020,16,WCO,0.33,0.37,0.31,0.62,0.86,,,,,,,,,,
2020,17,WCO,0.33,0.37,0.31,0.62,0.86,,,,,,,,,,
2020,18,WCO,0.33,0.37,0.31,0.62,0.86,,,,,,,,,,
2020,19,WCO,0.33,0.37,0.31,0.62,0.86,,,,,,,,,,
2020,20,WCO,0.33,0.37,0.31,0.62,0.86,,,,,,,,,,
2020,21,WCO,0.33,0.37,0.31,0.62,0.86,,,,,,,,,,
2020,22,WCO,0.33,0.37,0.31,0.62,0.86,,,,,,,,,,
2020,23,WCO,0.33,0.37,0.31,0.62,0.86,,,,,,,,,,
2020,24,WCO,0.33,0.37,0.31,0.62,0.86,,,,,,,,,,
2020,25,WCO,0.33,0.37,0.31,0.62,0.86,,,,,,,,,,
2020,26,WCO,0.33,0.37,0.31,0.62,0.86,,,,,,,,,,
2020,27,WCO,0.33,0.37,0.31,0.62,0.86,,,,,,,,,,
2020,28,WCO,0.33,0.37,0.31,0.62,0.86,,,,,,,,,,
2020,29,WCO,0.33,0.37,0.31,0.62,0.86,,,,,,,,,,
2020,30,WCO,0.33,0.37,0.31,0.62,0.86,,,,,,,,,,
2020,31,WCO,0.33,0.37,0.31,0.62,0.86,,,,,,,,,,
2020,32,WCO,0.33,0.37,0.31,0.62,0.86,,,,,,,,,,
2020,33,WCO,0.33,0.37,0.31,0.62,0.86,,,,,,,,,,
2020,34,WCO,0.33,0.37,0.31,0.62,0.86,,,,,,,,,,
2020,35,WCO,0.33,0.37,0.31,0.62,0.86,,,,,,,,,,
2020,36,WCO,0.33,0.37,0.31,0.62,0.86,,,,,,,,,,
2020,37,WCO,0.33,0.37,0.31,0.62,0.86,,,,,,,,,,
2020,38,WCO,0.33,0.37,0.31,0.62,0.86,,,,,,,,,,
2020,39,WCO,0.33,0.37,0.31,0.62,0.86,,,,,,,,,,
2020,40,WCO,0.33,0.37,0.31,0.62,0.86,,,,,,,,,,
2020,41,WCO,0.33,0.37,0.31,0.62,0.86,,,,,,,,,,
2020,42,WCO,0.33,0.37,0.31,0.62,0.86,,,,,,,,,,
2020,43,WCO,0.33,0.37,0.31,0.62,0.86,,,,,,,,,,
2020,44,WCO,0.33,0.37,0.31,0.62,0.86,,,,,,,,,,
2020,45,WCO,0.33,0.37,0.31,0.62,0.86,,,,,,,,,,
2020,46,WCO,0.33,0.37,0.31,0.62,0.86,,,,,,,,,,
2020,47,WCO,0.33,0.37,0.31,0.62,0.86,,,,,,,,,,
2020,48,WCO,0.33,0.37,0.31,0.62,0.86,,,,,,,,,,
2020,49,WCO,0.33,0.37,0.31,0.62,0.86,,,,,,,,,,
2020,50,WCO,0.33,0.37,0.31,0.62,0.86,,,,,,,,,,
2020,51,WCO,0.33,0.37,0.31,0.62,0.86,,,,,,,,,,
2020,52,WCO,0.33,0.37,0.31,0.62,0.86,,,,,,,,,,
2020,53,WCO,0.33,0.37,0.31,0.62,0.86,,,,,,,,,,
2020,54,WCO,0.33,0.37,0.31,0.62,0.86,,,,,,,,,,
2020,55,WCO,0.33,0.37,0.31,0.62,0.86,,,,,,,,,,
2020,56,WCO,0.33,0.37,0.31,0.62,0.86,,,,,,,,,,
2020,57,WCO,0.33,0.37,0.31,0.62,0.86,,,,,,,,,,
2020,58,WCO,0.33,0.37,0.31,0.62,0.86,,,,,,,,,,
2020,59,WCO,0.33,0.37,0.31,0.62,0.86,,,,,,,,,,
2020,60,WCO,0.33,0.37,0.31,0.62,0.86,,,,,,,,,,
2020,61,WCO,0.33,0.37,0.31,0.62,0.86,,,,,,,,,,
2020,62,WCO,0.33,0.37,0.31,0.62,0.86,,,,,,,,,,
2020,63,WCO,0.33,0.37,0.31,0.62,0.86,,,,,,,,,,
2020,64,WCO,0.33,0.37,0.31,0.62,0.86,,,,,,,,,,
2020,65,WCO,0.33,0.37,0.31,0.62,0.86,,,,,,,,,,
2020,66,WCO,0.33,0.37,0.31,0.62,0.86,,,,,,,,,,
2020,67,WCO,0.33,0.37,0.31,0.62,0.86,,,,,,,,,,
